2216,147.02,104.81,81.155,190.34,11.469,49.629,12.246,13.414,22.906,32.947,10.885,45.704,23.94,54.714,9.1205,72.367,17.18,17.18,29.291,5.9892,11.319,11.744,6.1438,4.6266,3.6151,4.4356,4.4356,17.697,5.1031,5.1031,5.1031,31.515,31.515,45.523,5.9038,5.9038,10.817,13.464,8.0612,10.884,10.884,12.543,12.543,28.856,28.856,28.856,37.628,38.59,18.664,13.491,8.3095,47.722,47.722,41.813,27.958,13.262
147.02,1969.7,498.35,81.655,83.941,35.903,23.382,69.193,25.262,14.329,62.239,27.291,7.1717,15.043,6.8532,28.593,15.141,32.486,22.281,6.1153,3.7366,7.0623,3.6603,3.6603,3.6603,3.6603,3.6603,4.0966,4.0966,4.0966,4.0966,4.0966,3.9386,17.725,5.7038,3.6894,23.075,40.687,40.687,40.309,20.474,8.1599,11.762,42.076,42.076,44.621,21.882,23.601,16.14,5.8536,5.8536,5.2,5.2,9.2667,8.7173,4.3773,4.3773
104.81,498.35,2827,502.94,93.121,89.789,59.395,48.036,5.842,16.325,36.388,18.788,29.702,15.665,14.15,23.691,21.071,45.754,7.8693,7.8693,5.0678,5.0678,5.0678,5.0678,5.0678,1.5061,1.5061,1.5061,5.0388,5.0388,5.0388,5.0388,5.373,8.1679,3.9184,5.0163,5.35,18.693,11.747,10.339,28.296,11.191,5.3393,36.931,12.494,25.693,15.105,32.808,5.6112,4.0327,2.876,3.5556,5.1437,19.415,2.9817,5.998,11.484
81.155,81.655,502.94,2124.5,350.15,82.001,71.106,35.111,25.625,14.415,71.485,20.673,21.766,11.449,15.572,30.379,17.309,8.3099,34.253,9.264,8.4198,2.6539,2.7492,2.7492,2.7492,2.7492,4.1506,3.0934,3.0934,3.0934,3.0934,3.0934,2.9682,17.943,12.949,8.3261,17.582,5.1401,12.884,7.6058,20.723,20.723,5.9035,24.178,13.73,5.645,11.068,17.975,12.295,4.4362,4.4362,11.772,11.319,7.0764,3.2899,3.2899,25.242
190.34,83.941,93.121,350.15,2569.6,529.38,111.62,75.823,90.579,42.564,74.689,18.285,38.452,47.185,36.746,30.697,33.982,48.794,30.19,10.926,3.3189,3.1364,3.1364,6.8125,2.5381,1.9844,2.4573,2.4573,3.2876,2.8385,3.1304,3.1304,3.5068,15.888,20.356,9.835,34.521,18.182,37.89,17.976,18.329,18.329,10.458,18.947,16.192,13.313,13.055,7.0638,50.731,15.688,3.753,9.2636,13.36,16.658,3.8847,3.8847,7.4409
11.469,35.903,89.789,82.001,529.38,1680.5,368.26,157.7,48.672,41.803,55.397,21.289,29.965,27.713,39.164,53.754,11.977,29.075,12.001,6.3543,1.9018,1.9018,11.173,3.9111,4.299,3.3652,2.8088,2.8088,5.6863,4.8958,3.604,3.2647,2.0211,12.337,12.337,7.5453,8.1113,21.192,22.283,25.942,17.835,4.2163,10.043,11.246,22.042,19.43,11.414,12.422,16.997,12.197,8.6592,5.3567,5.3567,14.748,6.738,9.0466,13.026
49.629,23.382,59.395,71.106,111.62,368.26,2724.1,479.71,114.49,31.778,83.585,30.545,52.337,38.339,23.041,22.539,25.855,56.402,25.953,20.553,8.2027,9.708,4.023,8.4348,1.5544,1.5544,1.5179,6.8502,6.8502,5.2852,5.2852,3.5259,8.717,3.3358,15.939,4.0641,17.509,15.219,23.962,8.3942,11.536,9.0931,2.1626,6.0662,13.579,20.934,8.2048,13.432,22.965,3.2809,4.652,5.7606,8.3822,15.915,15.915,4.8665,23.389
12.246,69.193,48.036,35.111,75.823,157.7,479.71,2470.8,354.16,60.378,82.677,41.619,31.918,37.97,26.625,19.133,34.106,37.184,44.869,16.965,12.202,9.6248,5.9815,8.3636,1.5402,1.5402,1.5402,1.5402,1.5402,1.746,1.9267,13.96,17.282,19.803,6.3177,4.0309,4.0309,22.615,9.4943,16.636,7.6159,4.5044,19.303,29.992,10.085,20.731,28.435,26.569,4.5435,22.757,9.2308,5.7121,12.451,26.24,14.401,7.237,13.899
13.414,25.262,5.842,25.625,90.579,48.672,114.49,354.16,2035.8,398.78,97.015,53.796,43.646,36.937,33.26,45.317,23.333,20.36,28.078,40.797,22.19,31.494,23.917,18.249,13.433,13.141,18.059,19.767,15.514,17.165,18.935,19.083,16.511,36.104,17.249,19.788,14.218,8.2409,15.575,12.123,24.989,14.777,44.478,19.703,3.6766,18.149,8.8875,19.38,39.777,17.774,27.746,21.858,31.766,22.975,20.97,23.735,20.274
22.906,14.329,16.325,14.415,42.564,41.803,31.778,60.378,398.78,1475.9,177.57,66.23,55.507,35.902,34.451,21.257,23.363,19.083,7.9179,45.075,37.647,28.789,26.229,32.519,10.014,7.8454,15.264,20.372,15.838,18.821,12.704,19.027,18.139,13.988,30.527,30.182,10.552,4.5589,17.336,3.3286,13.842,21.67,26.996,14.739,8.1414,5.0202,19.655,8.0869,22.119,27.512,34.537,35.98,22.564,35.306,33.196,20.31,25.23
