1494.6,193.57,91.324,53.63,32.285,26.977,15.13,15.509,10.36,9.4291,13.114,10.343,4.4764,10.279,14.903,2.6078,13.683,6.8334,12.819,12.934,17.133,7.6069,8.2489,9.7644,6.4707,12.893,12.893,12.893,4.4982,10.929,13.207,7.4314,10.138,19.572,10.369,9.2469,10.273,4.986,11.783,6.68,4.167,13.633,13.016,14.594,18.023,7.1902,7.2055,12.578,5.8932,10.397,8.8065,3.0356,5.5137,7.0376,14.694,4.8533,9.5023,9.807,9.807,16.568,30.894,67.73
193.57,1281.7,236.86,84.705,35.109,17.394,19.408,6.6693,10.325,5.3112,11.511,3.6384,2.5192,5.2598,11.108,11.618,8.2513,12.034,8.137,6.2985,10.566,3.8268,5.8041,3.4362,6.3931,7.5856,7.5856,7.5856,17.51,10.3,13.353,19.946,14.325,15.249,11.496,6.5219,7.2202,6.3121,7.5388,3.3535,10.78,12.04,12.853,9.2736,15.897,7.0971,11.183,8.8881,5.1958,3.9879,8.5212,0.71277,2.5874,0.99284,9.2403,9.4057,11.891,2.3021,2.4736,18.881,26.421,10.716
91.324,236.86,1284.9,212.53,54.741,27.035,18.441,12.855,11.45,8.6016,10.866,6.4313,5.1944,7.7457,11.627,7.9253,6.4846,10.398,9.5792,9.9031,9.7754,6.3099,5.1319,8.1004,10.748,8.927,8.9982,8.9982,9.3519,22.722,12.558,16.055,12.637,24.435,13.534,17.555,6.1943,7.4432,9.7729,3.1649,5.7682,7.0841,14.049,10.917,16.222,11.946,17.954,17.927,9.7936,5.485,9.1298,3.3574,0.76181,1.1692,5.4332,7.0508,6.1308,0.90435,1.4541,13.83,23.217,25.123
53.63,84.705,212.53,1447,194.96,65.761,22.085,17.115,11.144,11.234,9.7496,7.7011,6.2221,6.4961,6.0987,11.219,6.7868,5.6498,16.551,14.797,14.883,14.027,7.1593,8.4759,11.566,12.807,12.807,12.807,17.886,19.892,16.864,16.234,13.427,17.498,16.166,11.799,12.034,5.9336,8.502,2.8373,5.5145,20.292,9.0447,15.933,8.9403,9.9835,14.299,23.191,8.7672,1.8747,6.5488,3.0143,1.8251,4.1891,6.4859,13.244,6.2874,3.2432,5.2063,16.498,21.541,22.476
32.285,35.109,54.741,194.96,1167.8,169.61,32.409,24.98,23.102,16.129,19.466,10.251,7.3192,11.809,16.3,11.629,10.172,16.954,11.462,11.836,10.366,11.321,5.3674,13.623,17.37,6.4129,6.4129,6.4129,15.129,14.968,14.104,8.8697,8.8262,10.251,12.146,12.802,13.182,11.119,3.9836,4.9629,8.2831,6.3606,13.579,9.7992,6.718,6.431,10.742,13.418,7.6891,2.1068,6.5481,9.7881,2.0499,5.2457,14.65,13.556,8.6442,4.0551,6.5366,17.456,9.3077,11.324
26.977,17.394,27.035,65.761,169.61,1150.2,88.489,48.958,31.992,19.24,19.2,13.842,10.503,16.163,19.502,10.736,10.874,16.23,22.272,9.231,15.268,14.126,6.3786,14.361,10.458,14.704,13.468,13.468,12.633,18.185,8.2529,7.3981,9.4659,9.7984,7.3675,15.597,8.6516,8.6306,9.2783,7.0737,9.4947,7.4366,12.933,16.352,10.273,7.1501,7.1653,7.8434,2.7488,6.421,7.4924,6.2633,3.9757,6.1244,12.247,4.5172,8.502,3.3754,1.0935,10.475,5.8684,9.5172
15.13,19.408,18.441,22.085,32.409,88.489,893.19,216.3,66.829,39.749,29.569,24.485,23.68,20.613,17.651,19.586,12.434,17.311,15.134,17.516,16.306,14.399,10.093,16.152,15.294,18.006,18.006,18.006,20.036,7.1932,6.5277,1.4645,2.5001,4.8473,2.9125,3.2485,4.5599,6.8279,6.8218,6.989,11.613,10.916,5.7591,4.3113,5.1684,6.3567,2.8338,7.0913,8.687,5.0807,9.6924,10.428,7.2098,7.6102,6.4618,5.3634,5.1815,3.2051,1.7307,9.974,4.6578,3.7738
15.509,6.6693,12.855,17.115,24.98,48.958,216.3,746.74,109.9,45.693,23.991,26.593,19.98,24.426,15.032,19.812,17.6,15.681,12.217,9.4197,13.759,18.604,15.637,11.006,13.581,8.2064,10.43,14.28,6.4698,6.0912,3.6107,4.2546,4.0355,3.7533,6.3435,8.1768,6.1806,7.0838,4.5744,10.826,7.9373,6.5004,5.5777,1.3909,2.1438,7.5175,5.4877,4.2905,5.603,5.8157,8.8644,7.2182,8.3005,7.3654,3.1271,4.6162,6.0231,6.2069,3.3498,3.2181,3.006,10.956
10.36,10.325,11.45,11.144,23.102,31.992,66.829,109.9,708.07,93.763,43.809,37.283,36.179,26.23,17.552,18.597,18.562,20.046,13.461,11.328,13.781,18.114,17.627,14.507,17.312,16.442,15.648,42.829,10.801,5.2324,5.4273,7.8149,4.0429,6.5827,6.3567,3.7811,6.6353,7.0971,6.6189,10.395,6.6271,4.0721,3.725,3.4849,4.297,6.8495,3.4363,3.439,4.2123,7.1711,9.4038,7.2284,8.3106,7.3821,4.7002,5.2026,6.5343,6.7371,6.7136,4.836,3.011,3.6587
9.4291,5.3112,8.6016,11.234,16.129,19.24,39.749,45.693,93.763,760.15,133.16,86.852,66.505,42.271,24.65,13.096,18.769,22.504,15.374,17.037,15.616,19.228,20.881,12.693,16.217,29.193,28.433,15.577,14.148,5.7185,2.9649,1.5521,2.6495,4.108,2.3163,4.8225,4.3549,6.7271,6.1227,10.383,10.865,6.2303,5.4284,2.2853,3.1312,4.4949,0.75118,2.8193,6.9099,7.8399,6.2836,9.4773,8.6012,10.269,9.4174,9.4801,5.4976,10.767,5.5028,7.0364,7.0364,7.0364
13.114,11.511,10.866,9.7496,19.466,19.2,29.569,23.991,43.809,133.16,685.39,185.42,59.081,39.039,18.912,20.685,18.893,18.998,21.428,13.875,15.46,14.193,13.454,14.844,15.819,22.393,9.8121,13.432,11.257,4.9703,2.579,4.7156,3.0653,4.4673,4.0233,5.3796,10.481,8.5172,10.123,4.7135,9.4286,4.6442,8.2387,2.6472,2.0403,4.5548,5.8694,4.8989,5.3376,5.5165,5.9434,8.2019,5.3699,7.0077,9.6749,8.2191,9.5161,6.8773,7.1779,7.6608,1.431,1.431
10.343,3.6384,6.4313,7.7011,10.251,13.842,24.485,26.593,37.283,86.852,185.42,815.83,133.79,48.806,27.933,19.383,25.478,20.554,16.487,16.026,17.833,23.761,31.287,16.805,16.051,19.49,20.802,14.238,16.17,6.0972,3.6138,2.8369,1.6142,2.8171,3.5272,3.7756,5.7429,9.449,2.5416,14.446,7.2795,4.0676,3.0997,4.1763,2.8611,4.7897,2.0592,0.85879,9.1175,7.1592,8.8701,9.1376,10.475,10.053,6.2598,5.7728,5.0196,6.7269,17.603,17.706,3.0069,7.3089
4.4764,2.5192,5.1944,6.2221,7.3192,10.503,23.68,19.98,36.179,66.505,59.081,133.79,669.23,92.654,20.364,25.279,35.118,27.522,16.493,15.17,17.464,26.292,32.488,18.052,13.464,13.852,13.852,29.617,13.439,4.5217,8.4425,8.4425,1.6767,0.97514,3.6618,3.2675,6.4209,8.8303,3.6951,17.808,14.431,2.5335,3.8627,2.8907,3.7129,4.2616,4.2616,2.675,4.3678,3.7171,3.7916,7.9938,12.697,10.437,3.2499,3.5965,7.2978,12.359,14.796,1.6722,1.5619,3.7959
10.279,5.2598,7.7457,6.4961,11.809,16.163,20.613,24.426,26.23,42.271,39.039,48.806,92.654,765.01,66.087,51.918,52.755,33.432,36.436,22.99,18.788,25.778,18.022,19.473,22.756,14.461,11.3,30.941,22.217,3.7745,3.916,3.8456,6.1272,6.1272,5.3514,6.1387,8.6199,6.1463,9.922,5.3816,10.043,6.1692,4.7046,9.0518,3.1006,2.9647,5.2076,3.7216,2.279,7.7647,5.6559,9.9159,9.4743,9.4419,7.6279,7.5083,8.1608,8.9758,9.0793,6.9744,4.8846,3.9569
